,Example,DFS_time,DFS_memory,DFS_res,BFS_time,BFS_memory,BFS_res,UCS_time,UCS_memory,UCS_res,A*_time,A*_memory,A*_res
0,"[2, 1, 3, 4, 5, 6, 8, 7, 0]",4.41612696647644,2973809,maximum recursion depth exceeded in comparison,10.067861080169678,77271765,UULDDLUURRDDLULURDLDRR,45.77624869346619,77495163,LLURULDRDRUULLDDRUURDD,0.0998075008392334,306083,LLURDRULLDRURDLUULDDRRULDLUURDRDLLURULDDRR
1,"[2, 3, 1, 6, 5, 4, 8, 7, 0]",4.226657867431641,2961623,maximum recursion depth exceeded in comparison,32.56195592880249,144135447,ULLURRDLULDRDRUULLDRDLURRD,138.58889389038086,136071536,ULLDRULURRDDLUULDRRULLDRRD,0.17743778228759766,552476,ULLDRRULLDRUURDDLLURRULLDRDRULLDRURDLLURURDDLURULLDRDRUULDRDLULURDDLURULDDRR
2,"[2, 3, 1, 6, 4, 5, 7, 8, 0]",4.0525221824646,2961623,maximum recursion depth exceeded in comparison,4.657182455062866,44261020,UULDLDRURDLLURULDRRD,18.96741271018982,43263606,UULDLDRURDLLURULDRRD,0.024584531784057617,104269,LURULDDRULLDRRULDLURULDDRRULDLURRD
3,"[1, 2, 3, 6, 5, 4, 8, 7, 0]",4.106687307357788,2961623,maximum recursion depth exceeded in comparison,5.202348232269287,47760602,ULDLURDRULDLURDRULDR,19.277781009674072,43263542,LURDLULDRURDLULDRURD,0.0203549861907959,71997,ULLDRRULDRULDLURRDLLURDLURDRULLDRURD
4,"[1, 2, 3, 6, 5, 4, 0, 8, 7]",4.128292798995972,2962903,maximum recursion depth exceeded in comparison,5.4681220054626465,48337127,URDRULDLURDRULDLURDR,18.31103205680847,43263542,RURDLULDRURDLULDRURD,0.037175893783569336,90036,RRULLDRRULDRULLDRURDLLURDR
5,"[4, 5, 3, 2, 8, 0, 6, 7, 1]",4.119066953659058,2962351,maximum recursion depth exceeded in comparison,19.378362894058228,112513915,LULDDRULDRRULDLURULDRDR,68.56650876998901,104904767,LULDDRULDRRULDLURULDRDR,0.2306969165802002,712047,DLUURDLLDRRULLDRRULLURRDDLURDLURULDDRULURDLULDRRULDRDLUURDLDRUULDLURDLDRRULDLURRDLUULDRDLUURDLDRUULDRDR
6,"[4, 5, 3, 2, 1, 0, 8, 7, 6]",4.139192581176758,2962351,maximum recursion depth exceeded in comparison,7.936469554901123,65633662,ULDLDRRULLURRDDLUURDD,33.185057401657104,63510979,DLUULDDRRULLDRUULDRRD,0.12187981605529785,396120,DLLURDLURDRULLDRURDLUULDRDRULURDDLULDRRUULDRDLUURDLDRUULDLDRRULDLURRDLULDRR
7,"[1, 2, 4, 3, 5, 0, 8, 7, 6]",4.250383138656616,2962351,maximum recursion depth exceeded in comparison,7.616962909698486,63798982,ULDDLURRDLLURDRULURDD,32.43980669975281,63511649,LLDRRULLURRDDLUULDRRD,0.024096250534057617,94881,ULDRDLLURURDLDLURDRULLDRRULDRUULDDRULURDD
8,"[1, 2, 4, 3, 5, 8, 7, 0, 6]",4.254245758056641,2962511,maximum recursion depth exceeded in comparison,8.421534299850464,67086531,ULURDRULLDDRURDLLURDR,32.529900550842285,63510915,ULDRRULDLUURRDLULDRDR,0.012692689895629883,50853,URDLULDRRULDLUURRDLULDRRD
9,"[2, 1, 3, 4, 5, 8, 7, 0, 6]",4.129710912704468,2962351,maximum recursion depth exceeded in comparison,4.320958137512207,40499727,LURULDRRULLDDRUURDD,13.50214433670044,33494619,LURULDRRULLDDRUURDD,0.1352064609527588,474499,URDLUULDDRRULDLUURDRDLLURULDDRR
10,"[1, 3, 5, 8, 7, 0, 6, 2, 4]",4.39624547958374,2962559,maximum recursion depth exceeded in comparison,1.6790742874145508,17830796,DLLURRDLLURRULDRD,5.24893593788147,14515263,DLLURRDLLURRULDRD,0.028892993927001953,99911,DLURULDRDLLURDRULLDRULDRUURDDLLURRULDDR
11,"[4, 3, 1, 6, 5, 8, 0, 2, 7]",4.1144561767578125,2962903,maximum recursion depth exceeded in comparison,11.344914674758911,85655896,URDRULURDLLDRULURRDLDR,42.872952699661255,77492748,URDRULLDRUURDLLURRDLDR,0.13931751251220703,491689,RRULLDRRULLURRDDLURULDDRULURDDLUULDRDRUULDRDLUURDLDRUULLDDRRULDLURURDDLULDRRUULDRDLUURDLDRUULDLDRRULDLURRDLULDRR
12,"[7, 0, 4, 8, 5, 1, 6, 3, 2]",4.1488165855407715,2962351,maximum recursion depth exceeded in comparison,5.095709562301636,42664666,RDDLLUURRDDLLUURRDD,13.226219892501831,33495123,RDDLLUURRDDLLUURRDD,0.005898237228393555,14816,RDDLLUURRDDLLUURRDD
13,"[8, 7, 2, 1, 5, 0, 4, 6, 3]",4.041726112365723,2962351,maximum recursion depth exceeded in comparison,8.410295724868774,67074759,ULLDRURDDLUURDDLULDRR,33.30495882034302,63511049,DLLURULDDRUULDDRUURDD,0.3191816806793213,938775,DLUURDDLULURDLDRUULDRULDRURDDLURULLDDRRULULDRRDLLURDRULLURDRDLLURDLURULDDRR
14,"[8, 3, 5, 6, 4, 2, 1, 0, 7]",4.123379468917847,2962351,maximum recursion depth exceeded in comparison,27.02248787879944,134219054,UURDLLDRUULDRURDLDRULLDRR,119.88746547698975,133669817,RULLDRURULLDRURDDLURULDRD,0.03916025161743164,118196,RUULDLDRRULULDRURDDLURDLURULDDR
15,"[1, 6, 4, 0, 3, 5, 8, 2, 7]",4.177399158477783,2963455,maximum recursion depth exceeded in comparison,36.83857583999634,141613354,DRRUULDDLURDRUULDDRULDLURRD,170.23397374153137,139418098,DRRULLURRDLLURDLDRRULLURDDR,0.016949176788330078,65099,RDRUULDRDLLURRULDDLURDRULURDLLDRURD
16,"[6, 3, 8, 5, 4, 1, 7, 2, 0]",4.186185836791992,2961735,maximum recursion depth exceeded in comparison,36.91281056404114,144145471,UULDDLUURDLDRURDLURULDLURRDD,176.9520299434662,143708050,LLURRULDDRUULLDRURDLDLUURDDR,0.24028658866882324,707058,UULDDRULLURDLDRRULURDDLLURRULDLURRDLDRUULDLDRRULDLURRDLUULDRDRUULLDRURDD
17,"[5, 8, 7, 1, 4, 6, 3, 0, 2]",4.379330396652222,2962463,maximum recursion depth exceeded in comparison,35.84975457191467,141307647,UURDLULDDRULDRRUULDDRUULDRD,166.54707717895508,140668729,ULDRRUULDLURDDRUULDDRULLDRR,0.1398448944091797,467628,RULDLURRDLUURDDLUULDDRUULDDRRULLDRULDRURDLUURDLDRULURDLDRUULDRDLUURDDLURULDDRULDLURRDLULDRR
18,"[2, 8, 5, 3, 6, 1, 7, 0, 4]",4.038438320159912,2962351,maximum recursion depth exceeded in comparison,26.063866138458252,134019818,UURDDLURULDLURDRULDLURDRD,116.55840539932251,133666331,ULURDRULLDRURDDLURULLDRRD,0.13111281394958496,468942,RULLDRRULURDDLUULDDRRULDLUURDRDLLURDRULLDRURDLLUURDLDRRULDLURURDDLULDRRUULDRDLUURDLDRUULDLDRRULDLURRDLULDRR
19,"[8, 7, 6, 5, 4, 3, 2, 1, 0]",4.209214210510254,2961783,maximum recursion depth exceeded in comparison,39.12496995925903,144142167,ULULDDRUULDDRUURDDLUURDLULDRDR,189.82652950286865,143795376,LLUURDLDRURDLLUURDRULDDLUURDDR,0.054533958435058594,164926,LLURDRUULDDLURRULDRDLUURDLULDDRRULURDDLUURDLDRULDRUULDDRULURDD
