,Example,DFS_time,DFS_memory,DFS_res,BFS_time,BFS_memory,BFS_res,UCS_time,UCS_memory,UCS_res,IDS_time,IDS_memory,IDS_res,A*_time,A*_memory,A*_res
0,"[1, 2, 3, 0, 7, 6, 5, 4, 8]",0.07798576354980469,525227,URDDLUURDDLUURDDLUURDDLUURDDRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDR,0.009975194931030273,141042,DRULDRR,0.01795196533203125,113648,DRULDRR,0.11672472953796387,6982,DRULDRR,0.0010323524475097656,6954,DRULDRR
1,"[0, 4, 1, 2, 5, 3, 7, 8, 6]",3.998223066329956,2867199,maximum recursion depth exceeded in comparison,0.06299853324890137,710764,RRDLLURDRD,0.0908050537109375,466958,RRDLLURDRD,2.8439719676971436,8608,RRDLLURDRD,0.01764845848083496,17541,RRDDLULURDDR
2,"[4, 1, 3, 0, 2, 6, 7, 5, 8]",4.304121255874634,2859455,maximum recursion depth exceeded in comparison,0.014386177062988281,31735,URDDR,0.0026123523712158203,29816,URDDR,0.005027055740356445,4648,URDDR,0.00915980339050293,3617,URDDR
3,"[1, 2, 3, 0, 4, 8, 7, 6, 5]",4.241186857223511,2859455,maximum recursion depth exceeded in comparison,0.012339115142822266,163240,RDRULDR,0.01892542839050293,107416,RDRULDR,0.17884159088134766,6232,RDRULDR,0.0,5110,RDRULDR
4,"[1, 2, 0, 4, 8, 3, 7, 6, 5]",4.395474910736084,2863143,maximum recursion depth exceeded in comparison,0.004953861236572266,52117,DDLURD,0.01651763916015625,47856,DDLURD,0.03464174270629883,5440,DDLURD,0.0020003318786621094,4352,DDLURD
5,"[1, 0, 2, 4, 6, 3, 7, 5, 8]",0.08021831512451172,442976,DDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRULULDDRUULDDRUULDDRUULDDRUULDDRR,0.004134416580200195,54111,RDLDR,0.00502324104309082,29328,RDLDR,0.020979881286621094,4648,RDLDR,0.0009987354278564453,3826,RDLDR
6,"[0, 1, 2, 4, 5, 3, 7, 8, 6]",0.0009999275207519531,15704,DDRUULDDRUULDDRUULDDRUULDDRUURDD,0.001993894577026367,23442,RRDD,0.0029578208923339844,12360,RRDD,0.006015777587890625,2248,RRDD,0.0,2393,RRDD
7,"[1, 2, 3, 0, 4, 5, 7, 8, 6]",4.461996555328369,2859455,maximum recursion depth exceeded in comparison,0.0013651847839355469,14357,RRD,0.0009987354278564453,6551,RRD,0.004019021987915039,3064,RRD,0.0,2889,RRD
8,"[1, 2, 3, 4, 0, 5, 7, 8, 6]",4.19974422454834,2858903,maximum recursion depth exceeded in comparison,0.0010366439819335938,8175,RD,0.0009582042694091797,3917,RD,0.0019974708557128906,2272,RD,0.0,2318,RD
9,"[1, 2, 3, 4, 5, 0, 7, 8, 6]",0.06986093521118164,408824,ULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRRUULDDLUURDDLUURDDLUURDDLUURDDLURULDDRUULDDRUULDDRUULDDRUULDDRR,0.0,2891,D,0.0,1352,D,0.0,1480,D,0.0,1352,D
10,"[0, 1, 3, 4, 2, 5, 7, 8, 6]",4.305828332901001,2857735,maximum recursion depth exceeded in comparison,0.0016846656799316406,23969,RDRD,0.001997709274291992,13320,RDRD,0.004985332489013672,3856,RDRD,0.0009982585906982422,3153,RDRD
11,"[2, 3, 5, 1, 0, 4, 7, 8, 6]",4.331064701080322,2858903,maximum recursion depth exceeded in comparison,0.02662944793701172,343557,RULLDRRD,0.0489804744720459,206776,RULLDRRD,0.6640808582305908,7024,RULLDRRD,0.002993345260620117,13152,RULLDRRD
12,"[1, 6, 2, 5, 3, 0, 4, 7, 8]",4.262295961380005,2858351,maximum recursion depth exceeded in comparison,0.04154157638549805,437923,LURDLLDRR,0.0720987319946289,300679,LURDLLDRR,1.551769495010376,7816,LURDLLDRR,0.002996206283569336,9559,LURDLLDRR
